document_id,text_preview,dominant_topic,topic_probability,topic_words
0,apple inc release new iphone advanced ai capability improved camera system device feature cuttingedg...,1,0.308576530045339,"team, new, feature, match, prepare"
1,microsoft announces breakthrough quantum computing research scientist develop new algorithm faster d...,0,0.3825074486915403,"prevention, disease, scientist, method, develops innovative"
2,google artificial intelligence system achieves humanlevel performance language understanding task ma...,2,0.1243453494498008,"market, financial, challenge, company, significant"
3,tesla unveils new electric vehicle model autonomous driving feature car includes advanced sensor neu...,1,0.30274401085321306,"team, new, feature, match, prepare"
4,facebook introduces virtual reality platform social networking user interact immersive digital envir...,4,0.13417064471904455,"demand, platform, ecommerce, retail company, delay"
5,basketball championship reach exciting conclusion team compete title player demonstrate exceptional ...,1,0.34190744643503257,"team, new, feature, match, prepare"
6,football season begin new rule regulation team prepare challenging match intensive training session,1,0.45645407632911045,"team, new, feature, match, prepare"
7,olympic game showcase worldclass athletic performance athlete different country compete various spor...,1,0.17131872701108414,"team, new, feature, match, prepare"
8,tennis tournament attracts top player around globe match feature incredible rally strategic gameplay,1,0.34735336484321866,"team, new, feature, match, prepare"
9,baseball league announces expansion plan new team joining stadium prepare increased attendance fan e...,1,0.3787473219048723,"team, new, feature, match, prepare"
10,stock market experience significant volatility amid economic uncertainty investor monitor company ea...,2,0.5120863050025752,"market, financial, challenge, company, significant"
11,major corporation announces merger competitor company deal create industry leader expanded market pr...,2,0.40440220615034367,"market, financial, challenge, company, significant"
12,cryptocurrency market show mixed signal price fluctuate digital currency face regulatory challenge a...,2,0.37771640921935024,"market, financial, challenge, company, significant"
13,banking sector report strong quarterly profit despite challenge financial institution adapt changing...,2,0.48834601984797227,"market, financial, challenge, company, significant"
14,retail company struggle supply chain disruption ecommerce platform experience increased demand shipp...,4,0.6909518305686895,"demand, platform, ecommerce, retail company, delay"
15,president delivers speech addressing national economic policy government official discus budget allo...,0,0.10816856130708817,"prevention, disease, scientist, method, develops innovative"
16,senate debate new healthcare legislation bipartisan support lawmaker negotiate provision insurance c...,3,0.4153839798735347,"medical, patient, digital, patient monitoring, professional"
17,international summit brings world leader together climate discussion country commit reducing carbon ...,2,0.12278674855352209,"market, financial, challenge, company, significant"
18,supreme court ruling impact voting right election procedure legal expert analyze constitutional impl...,0,0.14131487767518278,"prevention, disease, scientist, method, develops innovative"
19,congressional committee investigates government transparency issue representative examine disclosure...,0,0.17631064681679387,"prevention, disease, scientist, method, develops innovative"
20,medical researcher discover new treatment chronic disease clinical trial show promising result patie...,3,0.5508858441246381,"medical, patient, digital, patient monitoring, professional"
21,pharmaceutical company develops innovative vaccine technology scientist work prevention method infec...,0,0.5742886968934294,"prevention, disease, scientist, method, develops innovative"
22,hospital system implement digital health record system medical professional adopt electronic documen...,3,0.5646839870371091,"medical, patient, digital, patient monitoring, professional"
23,public health official launch awareness campaign nutrition expert recommend dietary change disease p...,0,0.4834649274450111,"prevention, disease, scientist, method, develops innovative"
24,mental health service expand address growing demand therapist counselor provide support anxiety depr...,4,0.6016021257262149,"demand, platform, ecommerce, retail company, delay"
