document_id,text_preview,dominant_topic,topic_probability,topic_words
0,apple inc release new iphone advanced ai capability improved camera system device feature cuttingedg...,0,0.7989888588417489,"new, feature, compete, game, advanced"
1,microsoft announces breakthrough quantum computing research scientist develop new algorithm faster d...,1,0.8360381472086316,"market, financial, challenge, expert, significant"
2,google artificial intelligence system achieves humanlevel performance language understanding task ma...,2,0.7982510853138955,"company, leader, platform, digital, method"
3,tesla unveils new electric vehicle model autonomous driving feature car includes advanced sensor neu...,0,0.8659371368185165,"new, feature, compete, game, advanced"
4,facebook introduces virtual reality platform social networking user interact immersive digital envir...,3,0.7308524972980222,"new, team, prepare, match, announces"
5,basketball championship reach exciting conclusion team compete title player demonstrate exceptional ...,0,0.8385560246981361,"new, feature, compete, game, advanced"
6,football season begin new rule regulation team prepare challenging match intensive training session,3,0.839307831846504,"new, team, prepare, match, announces"
7,olympic game showcase worldclass athletic performance athlete different country compete various spor...,0,0.8394418210094016,"new, feature, compete, game, advanced"
8,tennis tournament attracts top player around globe match feature incredible rally strategic gameplay,3,0.7985433469136469,"new, team, prepare, match, announces"
9,baseball league announces expansion plan new team joining stadium prepare increased attendance fan e...,3,0.8658067281317644,"new, team, prepare, match, announces"
10,stock market experience significant volatility amid economic uncertainty investor monitor company ea...,1,0.8846476671869957,"market, financial, challenge, expert, significant"
11,major corporation announces merger competitor company deal create industry leader expanded market pr...,2,0.837708930733432,"company, leader, platform, digital, method"
12,cryptocurrency market show mixed signal price fluctuate digital currency face regulatory challenge a...,1,0.7987378736280959,"market, financial, challenge, expert, significant"
13,banking sector report strong quarterly profit despite challenge financial institution adapt changing...,1,0.7998627001654183,"market, financial, challenge, expert, significant"
14,retail company struggle supply chain disruption ecommerce platform experience increased demand shipp...,2,0.865518702037754,"company, leader, platform, digital, method"
15,president delivers speech addressing national economic policy government official discus budget allo...,4,0.799316082399441,"support, government, health, medical, demand"
16,senate debate new healthcare legislation bipartisan support lawmaker negotiate provision insurance c...,4,0.7964679912992957,"support, government, health, medical, demand"
17,international summit brings world leader together climate discussion country commit reducing carbon ...,2,0.7320758745172843,"company, leader, platform, digital, method"
18,supreme court ruling impact voting right election procedure legal expert analyze constitutional impl...,3,0.5967737087595182,"new, team, prepare, match, announces"
19,congressional committee investigates government transparency issue representative examine disclosure...,4,0.7326226086559822,"support, government, health, medical, demand"
20,medical researcher discover new treatment chronic disease clinical trial show promising result patie...,0,0.8650846689349132,"new, feature, compete, game, advanced"
21,pharmaceutical company develops innovative vaccine technology scientist work prevention method infec...,2,0.8847479507090021,"company, leader, platform, digital, method"
22,hospital system implement digital health record system medical professional adopt electronic documen...,2,0.8372255996796617,"company, leader, platform, digital, method"
23,public health official launch awareness campaign nutrition expert recommend dietary change disease p...,1,0.8843574117729632,"market, financial, challenge, expert, significant"
24,mental health service expand address growing demand therapist counselor provide support anxiety depr...,4,0.8392504686647512,"support, government, health, medical, demand"
